,Topics,Classics,value,Topic Words
0,Non-English Reviews,To Kill a Mockingbird,-0.35594523247711585,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
1,Non-English Reviews,The Great Gatsby,-0.40919947326207945,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
2,Non-English Reviews,The Catcher in the Rye,-0.34403458161345946,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
3,Non-English Reviews,1984,-0.37557790431505805,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
4,Non-English Reviews,Pride and Prejudice,-0.27081389661304434,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
5,Non-English Reviews,Jane Eyre,-0.39821291557209054,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
6,Non-English Reviews,Uncle Tom's Cabin,-0.4001940450248427,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
7,Non-English Reviews,The Bluest Eye,-0.4613926742287489,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
8,Non-English Reviews,The Little Prince,-0.16411978939663865,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
9,Non-English Reviews,Dracula,-0.3557200587827992,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
10,Non-English Reviews,The Handmaid's Tale,-0.3722763183971584,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
11,Non-English Reviews,The Odyssey,2.818052170868592,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
12,Non-English Reviews,Hamlet,2.661730562619844,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
13,Non-English Reviews,Tuesdays with Morrie,-0.32567219846491197,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
14,Non-English Reviews,And Then There Were None,-0.17583615755315637,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
15,Non-English Reviews,War and Peace,-0.3118968907503834,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
16,Non-English Reviews,The Things They Carried,-0.40159069946648257,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
17,Non-English Reviews,Much Ado About Nothing,-0.3572998975704651,"['que', 'non', 'una', 'con', 'che', 'come', 'los', 'tea', 'per', 'del', 'cup', 'por', 'para', 'era', 'read', 'libro', 'como', 'las', 'final', 'pero']"
18,Talking & Speaking,To Kill a Mockingbird,1.1279424445592856,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
19,Talking & Speaking,The Great Gatsby,-0.29782008213075106,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
20,Talking & Speaking,The Catcher in the Rye,0.07355645990661341,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
21,Talking & Speaking,1984,0.5279540226882526,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
22,Talking & Speaking,Pride and Prejudice,-0.010068305730166007,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
23,Talking & Speaking,Jane Eyre,-0.41404027139969224,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
24,Talking & Speaking,Uncle Tom's Cabin,-0.4335601206132439,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
25,Talking & Speaking,The Bluest Eye,-0.43576727021297257,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
26,Talking & Speaking,The Little Prince,1.961330643584813,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
27,Talking & Speaking,Dracula,-1.1304611867134973,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
28,Talking & Speaking,The Handmaid's Tale,-0.40768126585619846,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
29,Talking & Speaking,The Odyssey,-1.2140732451872411,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
30,Talking & Speaking,Hamlet,-0.021430993796701256,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
31,Talking & Speaking,Tuesdays with Morrie,2.607252456607453,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
32,Talking & Speaking,And Then There Were None,-0.32234635012478396,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
33,Talking & Speaking,War and Peace,-0.6190563358207914,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
34,Talking & Speaking,The Things They Carried,-0.13293334100322993,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
35,Talking & Speaking,Much Ado About Nothing,-0.8587972587571452,"['one', 'would', 'know', 'say', 'people', 'think', 'good', 'like', 'things', 'said', 'could', 'something', 'never', 'want', 'thing', 'make', 'even', 'world', 'way', 'see']"
36,Gushing & Loving Language,To Kill a Mockingbird,-0.06917463817091729,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
37,Gushing & Loving Language,The Great Gatsby,0.2823352009985108,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
38,Gushing & Loving Language,The Catcher in the Rye,-0.4541456363735352,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
39,Gushing & Loving Language,1984,-0.8642696607648771,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
40,Gushing & Loving Language,Pride and Prejudice,2.1005900907482093,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
41,Gushing & Loving Language,Jane Eyre,2.018138148384726,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
42,Gushing & Loving Language,Uncle Tom's Cabin,-0.2673649749731714,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
43,Gushing & Loving Language,The Bluest Eye,0.03211019987571024,"['love', 'loved', 'story', 'characters', 'heart', 'one', 'character', 'beautiful', 'even', 'much', 'life', 'favorite', 'always', 'end', 'made', 'never', 'happy', 'every', 'ever', 'like']"
